sample_index,delta_26Mg_raw,delta_26Mg_corrected,delta_26Mg_1sigma,f_silicate,f_carbonate,delta_river_inferred
1,0.494117227038956,0.494117227038956,0.01612555757494665,1.0,0.0,0.494117227038956
2,0.513559979587293,0.513559979587293,0.014489189768994,1.0,0.0,0.513559979587293
3,0.591809207597934,0.591809207597934,0.01937282195877555,1.0,0.0,0.591809207597934
4,0.463676103917432,0.463676103917432,0.00803633344091125,1.0,0.0,0.463676103917432
5,0.477752119067306,0.477752119067306,0.01768576469146215,1.0,0.0,0.477752119067306
6,0.443821115899797,0.443821115899797,0.0175667326545365,1.0,0.0,0.443821115899797
7,0.605229501196713,0.605229501196713,0.01852736312892045,1.0,0.0,0.605229501196713
8,0.631861726435919,0.631861726435919,0.0197373653380927,1.0,0.0,0.631861726435919
9,0.495994751880887,0.495994751880887,0.02994897972205425,1.0,0.0,0.495994751880887
10,0.633713864836013,0.633713864836013,0.02726179462713445,1.0,0.0,0.633713864836013
11,0.592385861357788,0.592385861357788,0.0131212522819934,1.0,0.0,0.592385861357788
12,0.62782572385844,0.62782572385844,0.01821606352098205,1.0,0.0,0.62782572385844
13,0.595692322257365,0.595692322257365,0.0094454703613009,1.0,0.0,0.595692322257365
14,0.669040581795174,0.669040581795174,0.002986437390197655,1.0,0.0,0.669040581795174
15,0.672088114741913,0.672088114741913,0.0308064071818921,1.0,0.0,0.672088114741913
16,0.614440623070363,0.614440623070363,0.0278840734616266,1.0,0.0,0.614440623070363
17,0.600386907331326,0.600386907331326,0.0310729708474184,1.0,0.0,0.600386907331326
18,0.577057008483647,0.577057008483647,0.0228362499045452,1.0,0.0,0.577057008483647
19,0.629142544198025,0.629142544198025,0.02798497504953395,1.0,0.0,0.629142544198025
20,0.50978767504772,0.50978767504772,0.01302903837405655,1.0,0.0,0.50978767504772
21,0.81107487780544,0.81107487780544,0.0247834491071092,1.0,0.0,0.81107487780544
22,0.687753178709538,0.687753178709538,0.0226851610066832,1.0,0.0,0.687753178709538
23,0.677712249519657,0.677712249519657,0.02821615057744445,1.0,0.0,0.677712249519657
24,0.732551877951345,0.732551877951345,0.0271368962691929,1.0,0.0,0.732551877951345
25,0.663401089890488,0.663401089890488,0.0119886700684304,1.0,0.0,0.663401089890488
26,0.519095280014588,0.519095280014588,0.0108520365476845,1.0,0.0,0.519095280014588
27,0.586818911247618,0.586818911247618,0.0318583732932977,1.0,0.0,0.586818911247618
28,0.549767413184462,0.549767413184462,0.00798857377638235,1.0,0.0,0.549767413184462
29,0.652011812993621,0.652011812993621,0.02901095088242455,1.0,0.0,0.652011812993621
30,0.606874972221224,0.606874972221224,0.0139692250095184,1.0,0.0,0.606874972221224
31,0.604700171159319,0.604700171159319,0.01321957323733205,1.0,0.0,0.604700171159319
32,0.596223506549639,0.596223506549639,0.02498802666864245,1.0,0.0,0.596223506549639
